"","sampleID.exp","test1.exp","allP.exp","ztest1","zallP","month","june","aug","exp.adjust","exp.adjustTest1","stress"
"278","931",20000,28540,0.599619069349627,0.887167316354836,"aug",0,1,2223.46367311423,22223.4636731142,6316.53632688577
"279","932",20140,27690,0.68858240314995,0.695789938048103,"aug",0,1,2197.21202806016,22337.2120280602,5352.78797193984
"280","953",18360,26190,-0.442522840882717,0.358065152800926,"aug",0,1,1857.99159568842,20217.9915956884,5972.00840431158
"281","954",18370,27560,-0.436168317039836,0.666520456660014,"aug",0,1,1923.44619584821,20293.4461958482,7266.55380415179
"282","955",17760,27370,-0.823794271455524,0.623741983862039,"aug",0,1,1812.41952052417,19572.4195205242,7797.58047947583
"283","956",18090,26840,-0.61409498464048,0.504412559741369,"aug",0,1,1845.57965295417,19935.5796529542,6904.42034704582
"284","1013",11770,23750,-1.69133513175546,-0.402283692628093,"nov",0,0,1013.63602425056,12783.6360242506,10966.3639757494
"285","1014",15360,28140,-0.158177695627902,0.579740825355389,"nov",0,0,1991.11192434549,17351.1119243455,10788.8880756545
"286","1015",16340,25310,0.260344390000233,-0.0533182602694982,"nov",0,0,1966.66423084498,18306.664230845,7003.33576915502
"287","1016",17260,25460,0.653242674467463,-0.0197638917734789,"nov",0,0,2058.80797697786,19318.8079769779,6141.19202302214
"288","1027",14360,23950,-0.585241048309673,-0.357544534633401,"nov",0,0,1604.08484430171,15964.0848443017,7985.91515569829
"289","1037",16570,27840,0.358568961117041,0.512632088363352,"nov",0,0,2094.18265197972,18664.1826519797,9175.81734802027
"290","1038",16010,24160,0.11941348361525,-0.310568418738975,"nov",0,0,1886.43680231306,17896.4368023131,6263.56319768694
"291","1039",14760,24530,-0.414415707236964,-0.227800976448795,"nov",0,0,1734.4508854006,16494.4508854006,8035.54911459941
"292","1040",17200,24470,0.627618873306556,-0.241222723847203,"nov",0,0,2011.62496371597,19211.624963716,5258.37503628403
"293","1049",13390,25000,-0.99949250041099,-0.12266395516127,"nov",0,0,1489.91397806201,14879.913978062,10120.086021938
"294","1050",13420,29370,-0.986680599830537,0.854886647022743,"nov",0,0,1864.70628987504,15284.706289875,14085.293710125
